Month,BSC,Province,District,Cluster,Site Name,latitude,longitude,Home Op Customer Count,Comp A Customer Count,Comp B Customer Count,Comp C Customer Count,Comp D Customer Count,Total Customer Count,Home Op Market Share,Comp A Market Share,Comp B Market Share,Comp C Market Share,Comp D Market Share,Market Share
November,Masvingo,Masvingo,Chivi,Chivi,Nyoni,-20.72817,30.89342,3042,418,134,12,0,3606,84.36,11.59,3.72,0.33,0,3
November,Masvingo,Masvingo,Chivi,Chivi,Nyoni,-20.728167,30.893417,180,27,10,1,0,218,82.57,12.39,4.59,0.46,0,3
November,Masvingo,Masvingo,Chivi,Chivi,Sese,-20.4939,30.6619,885,124,37,5,0,1051,84.21,11.8,3.52,0.48,0,3
November,Masvingo,Masvingo,Chivi,Chivi,Sese,-20.49389,30.66189,2945,426,87,19,0,3477,84.7,12.25,2.5,0.55,0,3
November,Masvingo,Masvingo,Gutu,Gutu,Bhasera,-19.68242,31.58375,5163,1539,223,27,0,6952,74.27,22.14,3.21,0.39,0,2
November,Masvingo,Masvingo,Gutu,Gutu,Chatsworth,-19.63089,30.83547,2123,317,53,7,1,2501,84.89,12.67,2.12,0.28,0.04,3
November,Masvingo,Masvingo,Gutu,Gutu,Chatsworth,-19.630889,30.835472,718,105,33,6,0,862,83.29,12.18,3.83,0.7,0,3
November,Masvingo,Masvingo,Gutu,Gutu,Chikwanda,-19.885472,31.165194,614,69,33,4,0,720,85.28,9.58,4.58,0.56,0,3
November,Masvingo,Masvingo,Gutu,Gutu,Chikwanda,-19.88547,31.16519,2872,288,166,15,0,3341,85.96,8.62,4.97,0.45,0,3
November,Masvingo,Masvingo,Gutu,Gutu,Chipise,-19.169694,30.928694,241,28,9,2,0,280,86.07,10,3.21,0.71,0,3
November,Masvingo,Masvingo,Gutu,Gutu,Chipise,-19.16969,30.92869,2382,384,69,9,0,2844,83.76,13.5,2.43,0.32,0,3
November,Masvingo,Masvingo,Gutu,Gutu,Chitsa,-19.51749,31.54776,7867,2666,235,41,0,10809,72.78,24.66,2.17,0.38,0,2
November,Masvingo,Masvingo,Gutu,Gutu,Driefontain Turn Off Eastdale Ranch,-19.424833,30.912833,510,49,8,2,0,569,89.63,8.61,1.41,0.35,0,3
November,Masvingo,Masvingo,Gutu,Gutu,Driefontain Turn Off Eastdale Ranch,-19.42483,30.91283,2552,303,63,12,0,2930,87.1,10.34,2.15,0.41,0,3
November,Masvingo,Masvingo,Gutu,Gutu,Floradale,-19.527222,30.760278,463,89,14,2,0,568,81.51,15.67,2.46,0.35,0,3
November,Masvingo,Masvingo,Gutu,Gutu,Floradale,-19.52722,30.76028,3844,566,148,22,1,4581,83.91,12.36,3.23,0.48,0.02,3
November,Masvingo,Masvingo,Gutu,Gutu,Gutu,-19.64706,31.16294,16585,2605,645,115,4,19954,83.12,13.06,3.23,0.58,0.02,3
November,Masvingo,Masvingo,Gutu,Gutu,Gutu Highway,-19.5184,31.03942,2886,306,89,7,0,3288,87.77,9.31,2.71,0.21,0,3
November,Masvingo,Masvingo,Gutu,Gutu,Gutu Highway,-19.518397,31.039417,250,28,5,3,0,286,87.41,9.79,1.75,1.05,0,3
